ds,yhat,yhat_lower,yhat_upper
2025-01-19,9375.84768049784,2698.4334746136205,16358.481717194232
2025-01-20,8238.728609355348,2033.4576874183986,14989.26296270525
2025-01-21,7623.597654080817,459.2243561628849,14518.73415023655
2025-01-22,7707.119498096763,584.771872034174,14197.394925667604
2025-01-23,8008.948831179295,942.4490217339082,14606.85893678121
2025-01-24,7441.848038510438,665.260563364618,14137.863625198213
2025-01-25,7829.991208036292,1367.8975784077893,14426.196868433593
2025-01-26,9012.613715678712,2396.6827986937005,15674.804369393563
2025-01-27,7919.705676297234,539.112464636308,14359.722411244333
2025-01-28,7353.290643393876,868.499008799285,14363.490933356785
2025-01-29,7489.082028052104,1099.5048572277717,14392.890607212103
2025-01-30,7845.69443190179,1205.683446460627,14960.453584779072
2025-01-31,7334.780622006885,262.13186331409105,13848.924692674469
2025-02-01,7779.357258083658,1165.4950271652688,14445.732399349869
2025-02-02,9017.4782189746,1729.832315375919,15217.949960056872
2025-02-03,7977.953324784442,913.8490832784566,14544.244452928795
2025-02-04,7461.653277715714,862.655922186036,14175.603201754884
2025-02-05,7643.192676227544,935.8665789897796,14831.143018442845
2025-02-06,8040.16764070206,1251.196956800869,15119.967658158925
2025-02-07,7563.318097898367,864.7576066199448,14245.582095035616
2025-02-08,8034.877148919759,833.0336565908801,14725.235162827586
2025-02-09,9292.26569573696,2867.6199725460665,15792.8371903067
2025-02-10,8263.82948503947,1680.5259313312167,15036.001568911333
2025-02-11,7750.15880829028,710.9349041815931,14524.96817765521
2025-02-12,7925.782201137021,1178.3925110398795,14944.038451740647
2025-02-13,8308.41025893132,1812.4782104485334,14959.561528063294
2025-02-14,7809.099299814046,1159.768186066592,13945.094822254305
2025-02-15,8250.597102885598,1712.780673687528,15187.45829655622
2025-02-16,9471.0288279614,2508.8922639297193,16152.805924838183
2025-02-17,8399.620342493268,1838.9291966658438,15318.196082350712
2025-02-18,7837.999399448627,784.0902716574578,14914.282708917157
2025-02-19,7961.866351650408,1401.3822438725435,14052.462685395063
2025-02-20,8290.210993885801,1551.3589893847552,14539.324542960796
2025-02-21,7735.44586219026,1130.7906546166387,14390.33815828488
2025-02-22,8121.718926341207,1952.9580714866368,14625.046122747044
2025-02-23,9288.564584939224,2602.635283081615,15943.045722294686
2025-02-24,8166.591065967721,1568.867252480937,14792.684994499268
2025-02-25,7558.74560663282,752.7370045066162,14455.733768468803
2025-02-26,7641.950055742418,928.4542004092319,14095.042543827458
2025-02-27,7936.284449912909,1623.002696920674,14877.029763454104
2025-02-28,7355.089828229204,1114.3319078044879,13787.013459910751
2025-03-01,7723.254105342584,1085.5507348507567,14537.835112886432
2025-03-02,8880.840718773676,2778.3611845704136,15248.98650094131
2025-03-03,7758.758858016377,1246.5059030656275,14554.84127435073
2025-03-04,7160.017229541389,822.935380370385,13531.347828342416
2025-03-05,7261.354438105637,521.0684996270817,13740.594399759384
2025-03-06,7582.423813218911,1020.4691270985252,14580.608335788085
2025-03-07,7035.904052520811,-99.60489443645527,14072.046405890525
2025-03-08,7445.799430902933,178.0598644053653,14401.29602164067
2025-03-09,8651.08904000877,1671.7856092730635,16194.060544839298
2025-03-10,7581.423437064159,1013.35601110429,14299.476358215785
2025-03-11,7038.410058838116,265.9959808347696,14165.335490791862
2025-03-12,7197.279726025081,387.8934242524884,13740.213112858271
2025-03-13,7576.111172336626,1278.856218280505,14562.751640916766
2025-03-14,7085.983957754676,33.481476106099954,13693.047113657734
2025-03-15,7549.32241034045,810.5844798585504,14286.910368225308
2025-03-16,8803.58889316807,2281.756933258403,15660.1750656814
2025-03-17,7777.023574650802,1142.2654421394952,14475.932318424379
2025-03-18,7269.970857556109,589.9472969923017,14409.968249866099
2025-03-19,7456.5836243718995,391.1947568292281,13985.756290525138
2025-03-20,7854.081132178342,657.7939876991477,14600.32089009251
2025-03-21,7372.929913071368,600.267587546702,14173.21993498379
2025-03-22,7835.209448824637,1811.7753277743182,14643.288805053024
2025-03-23,9078.320194950687,2316.235137302948,15923.535696475014
2025-03-24,8030.730588283461,1149.313409270182,14614.403361666058
2025-03-25,7493.302844817977,662.1555404483881,14105.298752331231
2025-03-26,7640.988565988022,713.080538354876,14343.842010748158
2025-03-27,7992.070063844845,1258.6365088339116,14685.725835359672
2025-03-28,7458.317057155728,1162.214198268705,13994.3482010901
2025-03-29,7863.321017853739,410.316837722465,14398.799246144294
2025-03-30,9046.165458217396,2285.224575185157,15746.446125410952
2025-03-31,7937.129696817955,1484.5023599956623,14579.742256500165
2025-04-01,7338.966981124956,228.7109997886288,14429.225894406727
2025-04-02,7428.549197160373,736.1576495591389,14179.318312449943
2025-04-03,7726.0553988380425,613.6765709513411,14257.765759548278
2025-04-04,7145.075207552305,442.80295094400964,13705.02914841355
2025-04-05,7510.890798879223,740.2289023547831,14113.658419834675
2025-04-06,8664.097205006212,2087.8676150377896,15574.919176433308
2025-04-07,7536.25987064468,1008.124183364647,14222.782505359819
